,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
468,N/A,The Assassination of Jesse James by the Coward Robert Ford,lowbrow,Andrew Dominik,2007,49258,"['Drama', 'Western', 'Action']",Canada,3.9322343578708,89,296,273,1224,1572,5586,7943,15031,8673,8571
469,N/A,Santa Sangre,lowbrow,Alejandro Jodorowsky,1989,11163,"['Horror', 'Fantasy', 'Mystery']",Mexico,3.93585953596703,40,83,94,257,326,1153,1788,3554,1820,2048
470,N/A,Sandhesam,lowbrow,Sathyan Anthikad,1991,252,"['Comedy', 'Family', 'Drama']",India,4.04761904761905,1,2,1,9,11,20,30,64,41,73
471,N/A,The Fall,lowbrow,Tarsem Singh,2006,25780,"['Fantasy', 'Adventure', 'Drama']",India,3.93357253685027,59,157,167,698,931,3006,4160,7448,3806,5350
472,N/A,"No Way, Spider",lowbrow,Rogério Sganzerla,1970,626,['Comedy'],Brazil,3.9720447284345,10,9,11,27,28,54,62,138,68,219
473,N/A,Inside Out,lowbrow,Pete Docter,2015,351473,"['Comedy', 'Family', 'Drama', 'Animation']",USA,3.92968734440483,756,2496,1657,10228,10125,50175,45535,110516,43681,76305
474,N/A,The Sixth Sense,lowbrow,M. Night Shyamalan,1999,166342,"['Drama', 'Mystery', 'Thriller']",USA,3.93080520854625,171,537,498,2716,3689,20473,28256,61201,22680,26131
475,N/A,Stalag 17,lowbrow,Billy Wilder,1953,8236,['War'],USA,3.93273433705682,9,21,26,121,196,801,1573,3029,1462,998
476,N/A,The Seventh Continent,lowbrow,Michael Haneke,1989,8621,['Drama'],Austria,3.93353439276186,27,59,56,146,238,870,1448,2962,1467,1348
477,N/A,Willow and Wind,lowbrow,Mohammadali Talebi,1999,304,['Drama'],Iran,4.00986842105263,0,3,3,10,8,34,29,85,64,68
478,N/A,The Beaver Trilogy,lowbrow,Trent Harris,2000,527,['Unknown'],Unknown,3.97722960151803,2,2,3,12,12,54,86,173,71,112
479,N/A,In the Heat of the Night,lowbrow,Norman Jewison,1967,19824,"['Thriller', 'Drama', 'Crime', 'Mystery']",USA,3.92776432606941,1,19,33,189,398,1851,4107,8075,3121,2030
480,N/A,Benilde or The Virgin Mother,lowbrow,Manoel de Oliveira,1975,361,['Drama'],Portugal,4.00277008310249,0,0,1,9,16,33,56,112,55,79
481,N/A,Eighth Grade,lowbrow,Bo Burnham,2018,149165,"['Drama', 'Comedy']",USA,3.926014815808,456,920,757,3163,3916,16047,24466,51143,25209,23088
482,N/A,The Wrestler,lowbrow,Darren Aronofsky,2008,62320,"['Drama', 'Romance']",USA,3.9252567394095,85,235,210,1018,1368,6549,11105,23399,10584,7767
483,N/A,Avengers: Infinity War,lowbrow,Anthony Russo,2018,426509,"['Adventure', 'Action', 'Science Fiction']",USA,3.9241246960791,1765,4214,2601,13147,13466,56415,54799,128762,56144,95196
484,N/A,Batman: Mask of the Phantasm,lowbrow,Bruce Timm,1993,27394,"['Romance', 'Animation', 'Action', 'Crime', 'Mystery', 'Thriller', 'Drama', 'Adventure']",USA,3.92520259910929,21,58,95,420,743,3406,5052,9248,4057,4294
485,N/A,Drishyam,lowbrow,Jeethu Joseph,2013,980,"['Crime', 'Thriller']",India,3.93979591836735,9,5,6,22,29,90,150,334,160,175
486,N/A,S. Bernardo,lowbrow,Leon Hirszman,1972,553,['Drama'],Brazil,3.9746835443038,3,7,9,15,26,42,63,155,101,132
