,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
162,163,King Kong,highbrow,Merian C. Cooper,1933,27321,"['Drama', 'Adventure', 'Horror']",USA,3.88935251271915,45,144,138,691,876,3974,4540,8431,3261,5221
166,167,The River,highbrow,Jean Renoir,1951,3604,"['Drama', 'Romance']",France,3.8131243063263,8,20,29,143,170,514,634,979,506,602
168,169,Earth,highbrow,Alexander Dovzhenko,1930,3434,['Drama'],Ukraine,3.70442632498544,3,28,37,138,176,604,650,963,388,447
173,174,The Texas Chain Saw Massacre,highbrow,Tobe Hooper,1974,93215,['Horror'],USA,3.92765112911012,324,927,710,2808,3030,11891,13434,25863,13046,21184
181,182,The Birds,highbrow,Alfred Hitchcock,1963,82298,['Horror'],USA,3.76397968358891,178,469,448,2329,3034,13333,16301,27340,8905,9962
190,191,"Salò, or the 120 Days of Sodom",highbrow,Pier Paolo Pasolini,1975,29927,"['Drama', 'War', 'Horror']",France,3.30581080629532,1321,1353,890,2216,2205,5026,4386,6245,2398,3888
192,193,Close Encounters of the Third Kind,highbrow,Steven Spielberg,1977,71199,"['Drama', 'Science Fiction']",USA,3.83435862863242,117,382,432,1860,2620,10313,13113,22395,9221,10747
196,197,Death in Venice,highbrow,Luchino Visconti,1971,6966,['Drama'],Italy,3.74368360608671,41,82,92,285,370,994,1188,1901,932,1081
197,198,Performance,highbrow,Nicolas Roeg,1970,6637,"['Crime', 'Drama', 'Music']",UK,3.5449751393702,27,82,111,341,505,1190,1390,1749,649,594
199,200,Red River,highbrow,Howard Hawks,1948,9181,"['Action', 'Western']",USA,3.93138002396253,11,33,41,165,266,1034,1589,3042,1665,1335
201,202,Paisan,highbrow,Roberto Rossellini,1946,5063,"['Drama', 'History', 'War']",Italy,3.91773651984989,4,12,15,93,125,578,997,1683,870,686
205,206,The Quiet Man,highbrow,John Ford,1952,8090,"['Drama', 'Romance', 'Comedy']",USA,3.72323856613103,38,86,83,344,457,1302,1467,2090,909,1314
206,207,Vampyr,highbrow,Carl Theodor Dreyer,1932,14058,"['Horror', 'Fantasy']",Germany,3.82942097026604,18,62,82,350,527,2004,2680,4472,1945,1918
217,218,The Tree of Life,highbrow,Terrence Malick,2011,83700,"['Drama', 'Fantasy']",USA,3.79962962962963,1271,2281,1324,4255,3701,9766,10106,18446,11678,20872
219,220,Nanook of the North,highbrow,Robert J. Flaherty,1922,7776,"['Documentary', 'Adventure']",France,3.50765174897119,46,84,71,378,523,1754,1671,2079,556,614
221,222,Wavelength,highbrow,Michael Snow,1967,2463,['Drama'],Canada,3.43463256191636,120,117,64,167,186,293,280,524,255,457
235,236,Zero for Conduct,highbrow,Jean Vigo,1933,5244,"['Comedy', 'Drama']",France,3.72873760488177,6,27,50,178,281,845,1083,1498,615,661
237,238,Groundhog Day,highbrow,Harold Ramis,1993,152688,"['Comedy', 'Fantasy', 'Romance', 'Drama']",USA,3.87273066645709,315,843,576,3301,4193,21079,27931,51230,19300,23921
238,239,2 or 3 Things I Know About Her,highbrow,Jean-Luc Godard,1967,5600,"['Comedy', 'Drama']",France,3.47205357142857,52,103,102,337,421,1144,1122,1240,568,512
