,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
215,216,The Graduate,common,Mike Nichols,1967,98000,"['Comedy', 'Drama']",USA,4.06893367346939,137,400,329,1650,1976,9365,12824,31183,17675,22461
216,217,The Exorcist,common,William Friedkin,1973,131183,['Horror'],USA,4.02413041323952,280,757,565,2895,3075,14847,17039,40727,18800,32198
218,219,The Thin Red Line,common,Terrence Malick,1998,48509,"['War', 'Drama', 'History']",Canada,3.98202395431776,128,344,257,1343,1441,5356,6659,13992,8461,10533
220,221,Wings of Desire,common,Wim Wenders,1987,29957,"['Romance', 'Fantasy', 'Drama']",Germany,3.99107053443269,47,120,142,421,581,1964,2949,7591,6106,8571
222,223,My Neighbor Totoro,common,Hayao Miyazaki,1988,182642,"['Family', 'Fantasy', 'Animation']",Japan,4.18811116829645,146,341,339,1726,2558,14336,21662,57575,29569,54394
223,224,Kind Hearts and Coronets,common,Robert Hamer,1949,7502,"['Comedy', 'Drama']",UK,4.00113303119168,4,18,27,103,137,693,1281,2673,1364,1203
224,225,Schindler's List,common,Steven Spielberg,1993,182343,"['War', 'Drama', 'History']",USA,4.41368739134488,232,409,302,1418,1477,8325,11094,44278,35315,79493
225,226,The Big Lebowski,common,Joel Coen,1998,231981,"['Crime', 'Comedy']",UK,4.14143615209866,427,1188,793,4089,4202,19759,26045,68709,39350,67423
226,227,Eternal Sunshine of the Spotless Mind,common,Michel Gondry,2004,323205,"['Drama', 'Romance', 'Science Fiction']",USA,4.20874212960814,570,1654,959,5404,4612,25821,30041,91333,54845,107966
227,228,"Ivan the Terrible, Part II: The Boyars' Plot",common,Sergei Eisenstein,1958,2887,"['Drama', 'History']",Russian Federation,3.95514374783512,0,10,10,65,110,355,458,853,443,583
